2025-09-28 09:02:47,655 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\俞兆林童袜服饰旗舰店产品质量数据.xlsx, 数据行数: 56
2025-09-28 09:02:47,655 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\儿童袜子棉柔企业店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,667 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\儿童袜子棉柔企业店产品质量数据.xlsx, 数据行数: 36
2025-09-28 09:02:47,668 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\卡拉美拉棉袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,691 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\卡拉美拉棉袜旗舰店产品质量数据.xlsx, 数据行数: 101
2025-09-28 09:02:47,691 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\嘉昕运动配件1店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,700 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\嘉昕运动配件1店产品质量数据.xlsx, 数据行数: 10
2025-09-28 09:02:47,701 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\回力倪菲专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,766 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\回力倪菲专卖店产品质量数据.xlsx, 数据行数: 461
2025-09-28 09:02:47,767 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\回力弈鑫专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,800 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\回力弈鑫专卖店产品质量数据.xlsx, 数据行数: 203
2025-09-28 09:02:47,801 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\回力棉娅专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,844 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\回力棉娅专卖店产品质量数据.xlsx, 数据行数: 283
2025-09-28 09:02:47,844 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\回力津舟专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,866 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\回力津舟专卖店产品质量数据.xlsx, 数据行数: 144
2025-09-28 09:02:47,867 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\回力西有专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,901 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\回力西有专卖店产品质量数据.xlsx, 数据行数: 229
2025-09-28 09:02:47,901 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\回力贝臻专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,972 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\回力贝臻专卖店产品质量数据.xlsx, 数据行数: 523
2025-09-28 09:02:47,972 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\回力赛麦达专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,025 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\回力赛麦达专卖店产品质量数据.xlsx, 数据行数: 339
2025-09-28 09:02:48,025 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\回力运动袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,100 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\回力运动袜旗舰店产品质量数据.xlsx, 数据行数: 606
2025-09-28 09:02:48,100 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\垚踏小栈产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,114 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\垚踏小栈产品质量数据.xlsx, 数据行数: 67
2025-09-28 09:02:48,114 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\宜而爽棉袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,121 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\宜而爽棉袜旗舰店产品质量数据.xlsx, 数据行数: 19
